word,category
ninety-one,number
ninety-two,number
ninety-three,number
ninety-four,number
ninety-five,number
ninety-six,number
ninety-seven,number
ninety-eight,number
ninety-nine,number
one hundred,number
first,ordinal number
second,ordinal number
third,ordinal number
fourth,ordinal number
fifth,ordinal number
sixth,ordinal number
seventh,ordinal number
eighth,ordinal number
ninth,ordinal number
tenth,ordinal number
eleventh,ordinal number
twelfth,ordinal number
thirteenth,ordinal number
fourteenth,ordinal number
fifteenth,ordinal number
sixteenth,ordinal number
seventeenth,ordinal number
eighteenth,ordinal number
nineteenth,ordinal number
twentieth,ordinal number
dollar,currency
dollars,currency
pounds,currency
pound,currency
euro,currency
euros,currency
cents,currency
cents,currency
